Sample Id	LCK, Putative copy-number alterations from GISTIC	LCK, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-2955-03	Diploid	58.4795		
TCGA-AB-2954-03	Diploid	85.3540		
TCGA-AB-2952-03	Gain	1630.7201		
TCGA-AB-2950-03	Diploid	133.1776		
TCGA-AB-2949-03	Diploid	127.5477		
TCGA-AB-2948-03	Diploid	288.9294		
TCGA-AB-2946-03	Diploid	152.7879		
TCGA-AB-2943-03	Gain	1943.7333		
TCGA-AB-2942-03	Diploid	174.3869		
TCGA-AB-2941-03	Diploid	142.0212		
TCGA-AB-2940-03	Diploid	274.4796		
TCGA-AB-2939-03	Diploid	53.0557		
TCGA-AB-2938-03	Diploid	480.5851		
TCGA-AB-2937-03	Diploid	149.9461		
TCGA-AB-2936-03	Diploid	875.2673		
TCGA-AB-2935-03	Diploid	661.4294		
TCGA-AB-2934-03	Diploid	300.5302		
TCGA-AB-2933-03	Diploid	232.3463		
TCGA-AB-2932-03	Diploid	57.4913		
TCGA-AB-2931-03	Diploid	70.4325		
TCGA-AB-2930-03	Diploid	106.6236		
TCGA-AB-2929-03	Diploid	947.9240		
TCGA-AB-2928-03	Diploid	64.9264		
TCGA-AB-2927-03	Diploid	978.7234		
TCGA-AB-2925-03	Diploid	37.4435		
TCGA-AB-2924-03	Diploid	112.4679		
TCGA-AB-2921-03	Diploid	193.9655		
TCGA-AB-2920-03	Diploid	329.2061		
TCGA-AB-2919-03	Diploid	168.1416		
TCGA-AB-2917-03	Diploid	145.6863		
TCGA-AB-2916-03	Diploid	599.7054		
TCGA-AB-2915-03	Diploid	533.5792		
TCGA-AB-2914-03	Diploid	108.9947		
TCGA-AB-2913-03	Diploid	100.6790		
TCGA-AB-2912-03	Diploid	72.0339		
TCGA-AB-2911-03	Diploid	401.4168		
TCGA-AB-2910-03	Diploid	112.4498		
TCGA-AB-2909-03	Diploid	47.3065		
TCGA-AB-2908-03	Diploid	880.0623		
TCGA-AB-2904-03	Gain	1183.9530		
TCGA-AB-2903-03	Diploid	34.1131		
TCGA-AB-2901-03	Diploid	60.9665		
TCGA-AB-2900-03	Diploid	39.8318		
TCGA-AB-2899-03	Diploid	493.0491		
TCGA-AB-2898-03	Diploid	363.0332		
TCGA-AB-2897-03	Diploid	142.0519		
TCGA-AB-2896-03	Diploid	136.6509		
TCGA-AB-2895-03	Diploid	52.1662		
TCGA-AB-2890-03	Diploid	1150.5969		
TCGA-AB-2889-03	Diploid	116.7220		
TCGA-AB-2888-03	Diploid	762.6684		
TCGA-AB-2887-03	Diploid	154.2680		
TCGA-AB-2886-03	Diploid	261.7712		
TCGA-AB-2885-03	Diploid	685.7650		
TCGA-AB-2884-03	Diploid	250.7022		
TCGA-AB-2882-03	Diploid	1176.1006		
TCGA-AB-2881-03	Diploid	413.2115		
TCGA-AB-2880-03	Diploid	47.0779		
TCGA-AB-2879-03	Diploid	67.0391		
TCGA-AB-2877-03	Diploid	190.5660		
TCGA-AB-2875-03	Diploid	434.4828		
TCGA-AB-2874-03	Diploid	35.6815		
TCGA-AB-2873-03	Diploid	327.8371		
TCGA-AB-2872-03	Diploid	121.5676		
TCGA-AB-2871-03	Diploid	1356.2326		
TCGA-AB-2870-03	Diploid	179.7594		
TCGA-AB-2869-03	Diploid	338.6967		
TCGA-AB-2868-03	Diploid	1227.0042		
TCGA-AB-2867-03	Diploid	667.3532		
TCGA-AB-2866-03	Diploid	372.6852		
TCGA-AB-2865-03	Diploid	212.2449		
TCGA-AB-2863-03	Diploid	44.9141		
TCGA-AB-2862-03	Diploid	354.1957		
TCGA-AB-2861-03	Diploid	153.0008		
TCGA-AB-2860-03	Diploid	590.5201		
TCGA-AB-2859-03	Diploid	901.3554		
TCGA-AB-2858-03	Diploid	466.0883		
TCGA-AB-2857-03	Diploid	747.7097		
TCGA-AB-2855-03	Diploid	29.3493		
TCGA-AB-2854-03	Diploid	395.1747		
TCGA-AB-2853-03	Diploid	46.5444		
TCGA-AB-2851-03	Diploid	183.2947		
TCGA-AB-2849-03	Diploid	371.1048		
TCGA-AB-2848-03	Diploid	163.6798		
TCGA-AB-2846-03	Diploid	120.0565		
TCGA-AB-2845-03	Diploid	229.0720		
TCGA-AB-2844-03	Diploid	63.4355		
TCGA-AB-2842-03	Diploid	30.5288		
TCGA-AB-2841-03	Diploid	274.8201		
TCGA-AB-2840-03	Diploid	190.5738		
TCGA-AB-2839-03	Diploid	75.3247		
TCGA-AB-2838-03	Diploid	371.9880		
TCGA-AB-2837-03	Diploid	83.2278		
TCGA-AB-2836-03	Diploid	201.7229		
TCGA-AB-2835-03	Diploid	42.7738		
TCGA-AB-2834-03	Diploid	69.4248		
TCGA-AB-2832-03	Diploid	81.7235		
TCGA-AB-2830-03	Diploid	663.2653		
TCGA-AB-2828-03	Diploid	44.5725		
TCGA-AB-2826-03	Diploid	102.0408		
TCGA-AB-2825-03	Diploid	55.8659		
TCGA-AB-2824-03	Diploid	244.3778		
TCGA-AB-2823-03	Diploid	89.2802		
TCGA-AB-2822-03	Diploid	147.3643		
TCGA-AB-2821-03	Diploid	341.6136		
TCGA-AB-2820-03	Gain	460.7219		
TCGA-AB-2819-03	Diploid	215.7676		
TCGA-AB-2818-03	Diploid	167.8907		
TCGA-AB-2817-03	Diploid	230.2372		
TCGA-AB-2816-03	Diploid	114.4231		
TCGA-AB-2814-03	Diploid	88.1827		
TCGA-AB-2813-03	Diploid	182.0028		
TCGA-AB-2812-03	Diploid	11.3860		
TCGA-AB-2811-03	Diploid	260.5671		
TCGA-AB-2810-03	Diploid	173.7997		
TCGA-AB-2808-03	Diploid	54.2027		
TCGA-AB-2807-03	Diploid	82.4230		
TCGA-AB-2806-03	Diploid	87.8421		
TCGA-AB-2805-03	Diploid	108.4337		
TCGA-AB-2803-03	Diploid	90.5350		
