Sample Id	SRC, Putative copy-number alterations from GISTIC	SRC, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-2874-03	Diploid	29.4372		
TCGA-AB-2873-03	Diploid	247.6791		
TCGA-AB-2872-03	Diploid	37.3234		
TCGA-AB-2871-03	Diploid	221.0677		
TCGA-AB-2870-03	Diploid	802.5478		
TCGA-AB-2869-03	Diploid	507.6428		
TCGA-AB-2868-03	Shallow Deletion	109.7046		
TCGA-AB-2867-03	Diploid	79.2997		
TCGA-AB-2866-03	Diploid	1075.6173		
TCGA-AB-2865-03	Diploid	2040.0000		
TCGA-AB-2863-03	Diploid	48.8771		
TCGA-AB-2862-03	Diploid	42.0232		
TCGA-AB-2861-03	Diploid	215.5537		
TCGA-AB-2860-03	Diploid	231.7314		
TCGA-AB-2859-03	Diploid	1298.1928		
TCGA-AB-2858-03	Diploid	22.8707		
TCGA-AB-2857-03	Diploid	486.2579		
TCGA-AB-2855-03	Diploid	85.7308		
TCGA-AB-2854-03	Diploid	94.8419		
TCGA-AB-2853-03	Diploid	114.9506		
TCGA-AB-2851-03	Diploid	409.8995		
TCGA-AB-2849-03	Diploid	299.3390		
TCGA-AB-2848-03	Diploid	873.3572		
TCGA-AB-2846-03	Diploid	459.7458		
TCGA-AB-2845-03	Diploid	111.6158		
TCGA-AB-2844-03	Diploid	53.4569		
TCGA-AB-2842-03	Diploid	202.7985		
TCGA-AB-2841-03	Diploid	165.4676		
TCGA-AB-2840-03	Diploid	65.5738		
TCGA-AB-2839-03	Diploid	290.0433		
TCGA-AB-2838-03	Diploid	374.2470		
TCGA-AB-2837-03	Diploid	513.3680		
TCGA-AB-2836-03	Diploid	648.9591		
TCGA-AB-2835-03	Diploid	141.2832		
TCGA-AB-2834-03	Diploid	108.9808		
TCGA-AB-2832-03	Diploid	101.9249		
TCGA-AB-2830-03	Diploid	428.5714		
TCGA-AB-2828-03	Diploid	277.4256		
TCGA-AB-2826-03	Diploid	103.9845		
TCGA-AB-2825-03	Diploid	739.0263		
TCGA-AB-2824-03	Diploid	601.1994		
TCGA-AB-2823-03	Diploid	176.0095		
TCGA-AB-2822-03	Diploid	34.4895		
TCGA-AB-2821-03	Diploid	289.0577		
TCGA-AB-2820-03	Diploid	903.3970		
TCGA-AB-2819-03	Diploid	31.8119		
TCGA-AB-2818-03	Diploid	241.9833		
TCGA-AB-2817-03	Diploid	866.6008		
TCGA-AB-2816-03	Diploid	503.8462		
TCGA-AB-2814-03	Diploid	400.3972		
TCGA-AB-2813-03	Diploid	429.8192		
TCGA-AB-2812-03	Diploid	129.6256		
TCGA-AB-2811-03	Diploid	626.0032		
TCGA-AB-2810-03	Diploid	267.2829		
TCGA-AB-2808-03	Diploid	94.2655		
TCGA-AB-2807-03	Diploid	562.0655		
TCGA-AB-2806-03	Diploid	17.8230		
TCGA-AB-2805-03	Diploid	866.8005		
TCGA-AB-2803-03	Diploid	67.9012		
