Sample Id	FYN, Putative copy-number alterations from GISTIC	FYN, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-2936-03	Diploid	1203.1361		
TCGA-AB-2935-03	Diploid	1321.3259		
TCGA-AB-2934-03	Diploid	1839.9518		
TCGA-AB-2933-03	Diploid	1952.9371		
TCGA-AB-2932-03	Diploid	691.6376		
TCGA-AB-2931-03	Diploid	494.1541		
TCGA-AB-2930-03	Diploid	639.2030		
TCGA-AB-2929-03	Diploid	1473.6101		
TCGA-AB-2928-03	Diploid	269.9910		
TCGA-AB-2927-03	Diploid	1477.4468		
TCGA-AB-2925-03	Diploid	788.8961		
TCGA-AB-2924-03	Diploid	477.5064		
TCGA-AB-2921-03	Diploid	814.1762		
TCGA-AB-2920-03	Diploid	867.4436		
TCGA-AB-2919-03	Diploid	659.9241		
TCGA-AB-2917-03	Diploid	1090.2973		
TCGA-AB-2916-03	Diploid	2170.2504		
TCGA-AB-2915-03	Diploid	1418.1651		
TCGA-AB-2914-03	Diploid	629.6296		
TCGA-AB-2913-03	Diploid	629.7796		
TCGA-AB-2912-03	Diploid	1084.7458		
TCGA-AB-2911-03	Diploid	1149.9410		
TCGA-AB-2910-03	Diploid	1212.2777		
TCGA-AB-2909-03	Diploid	519.7055		
TCGA-AB-2908-03	Diploid	1122.2741		
TCGA-AB-2904-03	Diploid	682.9746		
TCGA-AB-2903-03	Diploid	1155.9454		
TCGA-AB-2901-03	Diploid	118.2156		
TCGA-AB-2900-03	Diploid	104.4479		
TCGA-AB-2899-03	Diploid	1200.1854		
TCGA-AB-2898-03	Diploid	894.7867		
TCGA-AB-2897-03	Diploid	542.2773		
TCGA-AB-2896-03	Diploid	952.6066		
TCGA-AB-2895-03	Diploid	445.6233		
TCGA-AB-2890-03	Diploid	1346.1892		
TCGA-AB-2889-03	Diploid	399.0914		
TCGA-AB-2888-03	Diploid	3148.8133		
TCGA-AB-2887-03	Diploid	1091.5738		
TCGA-AB-2886-03	Diploid	246.8129		
TCGA-AB-2885-03	Diploid	1119.2538		
TCGA-AB-2884-03	Diploid	1168.5393		
TCGA-AB-2882-03	Diploid	1529.0007		
TCGA-AB-2881-03	Diploid	731.5531		
TCGA-AB-2880-03	Diploid	651.7857		
TCGA-AB-2879-03	Diploid	1041.5004		
TCGA-AB-2877-03	Diploid	1285.8491		
TCGA-AB-2875-03	Diploid	444.1379		
TCGA-AB-2874-03	Diploid	270.2871		
TCGA-AB-2873-03	Diploid	1715.7409		
TCGA-AB-2872-03	Diploid	142.8952		
TCGA-AB-2871-03	Diploid	1220.2584		
TCGA-AB-2870-03	Diploid	1338.2873		
TCGA-AB-2869-03	Diploid	728.0772		
TCGA-AB-2868-03	Diploid	1372.1519		
TCGA-AB-2867-03	Diploid	776.5191		
TCGA-AB-2866-03	Diploid	1501.5432		
TCGA-AB-2865-03	Diploid	827.7551		
TCGA-AB-2863-03	Diploid	638.0449		
TCGA-AB-2862-03	Diploid	814.4500		
TCGA-AB-2861-03	Diploid	239.2223		
TCGA-AB-2860-03	Diploid	1250.1646		
TCGA-AB-2859-03	Diploid	1001.5060		
TCGA-AB-2858-03	Diploid	290.2208		
TCGA-AB-2857-03	Diploid	1162.7907		
TCGA-AB-2855-03	Diploid	776.9840		
TCGA-AB-2854-03	Diploid	1048.2529		
TCGA-AB-2853-03	Diploid	144.5698		
TCGA-AB-2851-03	Diploid	1919.5669		
TCGA-AB-2849-03	Diploid	1345.6091		
TCGA-AB-2848-03	Diploid	715.6511		
TCGA-AB-2846-03	Diploid	653.2486		
TCGA-AB-2845-03	Diploid	851.3952		
TCGA-AB-2844-03	Diploid	1079.8289		
TCGA-AB-2842-03	Diploid	326.3674		
TCGA-AB-2841-03	Diploid	496.4029		
TCGA-AB-2840-03	Diploid	204.9180		
TCGA-AB-2839-03	Diploid	873.5931		
TCGA-AB-2838-03	Diploid	652.8614		
TCGA-AB-2837-03	Diploid	1863.6814		
TCGA-AB-2836-03	Diploid	1678.3920		
TCGA-AB-2835-03	Diploid	300.7129		
TCGA-AB-2834-03	Diploid	581.2311		
TCGA-AB-2832-03	Diploid	325.9759		
TCGA-AB-2830-03	Diploid	959.9686		
TCGA-AB-2828-03	Diploid	862.2478		
TCGA-AB-2826-03	Diploid	1371.2342		
TCGA-AB-2825-03	Diploid	843.5754		
TCGA-AB-2824-03	Diploid	611.6942		
TCGA-AB-2823-03	Diploid	994.1984		
TCGA-AB-2822-03	Diploid	454.6345		
TCGA-AB-2821-03	Diploid	1318.0045		
TCGA-AB-2820-03	Diploid	600.8493		
TCGA-AB-2819-03	Diploid	331.2586		
TCGA-AB-2818-03	Diploid	326.3228		
TCGA-AB-2817-03	Diploid	1763.8340		
TCGA-AB-2816-03	Diploid	1267.3077		
TCGA-AB-2814-03	Diploid	382.9196		
TCGA-AB-2813-03	Diploid	1490.1483		
TCGA-AB-2812-03	Diploid	135.7565		
TCGA-AB-2811-03	Diploid	352.0599		
TCGA-AB-2810-03	Diploid	743.9154		
TCGA-AB-2808-03	Diploid	608.0126		
TCGA-AB-2807-03	Diploid	1437.9345		
TCGA-AB-2806-03	Diploid	138.7651		
TCGA-AB-2805-03	Diploid	1862.7845		
TCGA-AB-2803-03	Diploid	337.4486		
