Sample Id	FGR, Putative copy-number alterations from GISTIC	FGR, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-2865-03	Diploid	4355.9184		
TCGA-AB-2863-03	Diploid	436.5918		
TCGA-AB-2862-03	Diploid	128.0708		
TCGA-AB-2861-03	Diploid	1890.9552		
TCGA-AB-2860-03	Diploid	2304.1475		
TCGA-AB-2859-03	Diploid	1722.8916		
TCGA-AB-2858-03	Diploid	234.2271		
TCGA-AB-2857-03	Diploid	1336.1522		
TCGA-AB-2855-03	Diploid	525.1979		
TCGA-AB-2854-03	Diploid	4323.6273		
TCGA-AB-2853-03	Diploid	1069.1114		
TCGA-AB-2851-03	Diploid	13435.4215		
TCGA-AB-2849-03	Diploid	182.2474		
TCGA-AB-2848-03	Diploid	7522.1027		
TCGA-AB-2846-03	Diploid	4219.6328		
TCGA-AB-2845-03	Diploid	1003.2446		
TCGA-AB-2844-03	Diploid	2946.5431		
TCGA-AB-2842-03	Diploid	4343.0856		
TCGA-AB-2841-03	Diploid	470.5036		
TCGA-AB-2840-03	Diploid	126.0246		
TCGA-AB-2839-03	Diploid	553.2468		
TCGA-AB-2838-03	Diploid	5328.3133		
TCGA-AB-2837-03	Diploid	12018.2557		
TCGA-AB-2836-03	Diploid	9165.8291		
TCGA-AB-2835-03	Diploid	9732.9877		
TCGA-AB-2834-03	Diploid	3962.0585		
TCGA-AB-2832-03	Diploid	2713.4052		
TCGA-AB-2830-03	Diploid	586.3422		
TCGA-AB-2828-03	Diploid	5592.3151		
TCGA-AB-2826-03	Diploid	9779.3975		
TCGA-AB-2825-03	Diploid	14098.1644		
TCGA-AB-2824-03	Diploid	2946.0270		
TCGA-AB-2823-03	Diploid	221.2873		
TCGA-AB-2822-03	Diploid	57.2212		
TCGA-AB-2821-03	Diploid	1649.7639		
TCGA-AB-2820-03	Gain	650.7431		
TCGA-AB-2819-03	Diploid	234.4398		
TCGA-AB-2818-03	Diploid	7741.1015		
TCGA-AB-2817-03	Diploid	3579.0514		
TCGA-AB-2816-03	Diploid	10352.8846		
TCGA-AB-2814-03	Diploid	1215.4916		
TCGA-AB-2813-03	Diploid	12065.8135		
TCGA-AB-2812-03	Diploid	634.9901		
TCGA-AB-2811-03	Diploid	12428.0364		
TCGA-AB-2810-03	Diploid	1548.3973		
TCGA-AB-2808-03	Diploid	2670.0707		
TCGA-AB-2807-03	Diploid	227.4081		
TCGA-AB-2806-03	Diploid	231.0630		
TCGA-AB-2805-03	Diploid	7054.2169		
TCGA-AB-2803-03	Diploid	1491.7695		
