Sample Id	LYN, Putative copy-number alterations from GISTIC	LYN, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-2842-03	Diploid	5586.7709		
TCGA-AB-2841-03	Diploid	2594.2446		
TCGA-AB-2840-03	Diploid	1077.8689		
TCGA-AB-2839-03	Diploid	5149.7835		
TCGA-AB-2838-03	Gain	8586.5964		
TCGA-AB-2837-03	Diploid	9155.0624		
TCGA-AB-2836-03	Diploid	9699.9282		
TCGA-AB-2835-03	Diploid	6860.0130		
TCGA-AB-2834-03	Diploid	3707.7699		
TCGA-AB-2832-03	Diploid	3277.2058		
TCGA-AB-2830-03	Diploid	2193.0926		
TCGA-AB-2828-03	Diploid	7232.2767		
TCGA-AB-2826-03	Diploid	7104.9563		
TCGA-AB-2825-03	Diploid	6258.5794		
TCGA-AB-2824-03	Diploid	3280.3598		
TCGA-AB-2823-03	Amplification	3233.8550		
TCGA-AB-2822-03	Gain	7847.1487		
TCGA-AB-2821-03	Gain	3902.2788		
TCGA-AB-2820-03	Gain	4504.2463		
TCGA-AB-2819-03	Diploid	2951.5906		
TCGA-AB-2818-03	Diploid	6190.6742		
TCGA-AB-2817-03	Diploid	3137.3518		
TCGA-AB-2816-03	Diploid	7734.6154		
TCGA-AB-2814-03	Diploid	3051.4399		
TCGA-AB-2813-03	Diploid	6469.2261		
TCGA-AB-2812-03	Diploid	2979.6365		
TCGA-AB-2811-03	Diploid	7018.1915		
TCGA-AB-2810-03	Diploid	2724.1786		
TCGA-AB-2808-03	Diploid	3560.0943		
TCGA-AB-2807-03	Gain	2966.2363		
TCGA-AB-2806-03	Gain	5889.8791		
TCGA-AB-2805-03	Diploid	5957.1620		
TCGA-AB-2803-03	Diploid	1095.6790		
