Sample Id	HCK, Putative copy-number alterations from GISTIC	HCK, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-2899-03	Diploid	1869.3234		
TCGA-AB-2898-03	Diploid	1643.6019		
TCGA-AB-2897-03	Diploid	310.0338		
TCGA-AB-2896-03	Diploid	1582.9384		
TCGA-AB-2895-03	Diploid	954.9072		
TCGA-AB-2890-03	Diploid	1921.0285		
TCGA-AB-2889-03	Diploid	972.2174		
TCGA-AB-2888-03	Diploid	5150.7377		
TCGA-AB-2887-03	Diploid	217.8761		
TCGA-AB-2886-03	Diploid	700.3230		
TCGA-AB-2885-03	Diploid	657.3396		
TCGA-AB-2884-03	Diploid	3391.1517		
TCGA-AB-2882-03	Diploid	1910.5521		
TCGA-AB-2881-03	Diploid	1573.4364		
TCGA-AB-2880-03	Diploid	2474.8377		
TCGA-AB-2879-03	Diploid	333.5994		
TCGA-AB-2877-03	Diploid	39.6226		
TCGA-AB-2875-03	Diploid	1013.7931		
TCGA-AB-2874-03	Diploid	2180.1379		
TCGA-AB-2873-03	Diploid	5039.1446		
TCGA-AB-2872-03	Diploid	1867.2354		
TCGA-AB-2871-03	Diploid	266.6848		
TCGA-AB-2870-03	Diploid	1605.0955		
TCGA-AB-2869-03	Diploid	442.4779		
TCGA-AB-2868-03	Gain	806.7511		
TCGA-AB-2867-03	Diploid	1818.7436		
TCGA-AB-2866-03	Diploid	4996.1420		
TCGA-AB-2865-03	Diploid	3709.3878		
TCGA-AB-2863-03	Diploid	1183.6196		
TCGA-AB-2862-03	Diploid	384.2123		
TCGA-AB-2861-03	Diploid	1600.1691		
TCGA-AB-2860-03	Diploid	1442.3963		
TCGA-AB-2859-03	Diploid	1100.9036		
TCGA-AB-2858-03	Diploid	616.7192		
TCGA-AB-2857-03	Diploid	1095.1374		
TCGA-AB-2855-03	Diploid	958.4862		
TCGA-AB-2854-03	Diploid	2202.1631		
TCGA-AB-2853-03	Diploid	722.8491		
TCGA-AB-2851-03	Diploid	6706.8832		
TCGA-AB-2849-03	Diploid	65.1558		
TCGA-AB-2848-03	Diploid	2912.7838		
TCGA-AB-2846-03	Diploid	1475.9887		
TCGA-AB-2845-03	Diploid	1585.3342		
TCGA-AB-2844-03	Diploid	1111.9031		
TCGA-AB-2842-03	Diploid	2386.3347		
TCGA-AB-2841-03	Diploid	1106.4748		
TCGA-AB-2840-03	Diploid	582.9918		
TCGA-AB-2839-03	Diploid	776.6234		
TCGA-AB-2838-03	Diploid	2867.4699		
TCGA-AB-2837-03	Diploid	6329.2050		
TCGA-AB-2836-03	Diploid	6175.1615		
TCGA-AB-2835-03	Diploid	3734.9320		
TCGA-AB-2834-03	Diploid	1918.8698		
TCGA-AB-2832-03	Diploid	2991.6325		
TCGA-AB-2830-03	Diploid	1048.6656		
TCGA-AB-2828-03	Diploid	1954.2747		
TCGA-AB-2826-03	Diploid	4649.1740		
TCGA-AB-2825-03	Diploid	4635.2753		
TCGA-AB-2824-03	Diploid	1820.0900		
TCGA-AB-2823-03	Diploid	1049.0419		
TCGA-AB-2822-03	Diploid	369.1946		
TCGA-AB-2821-03	Diploid	801.4781		
TCGA-AB-2820-03	Diploid	454.3524		
TCGA-AB-2819-03	Diploid	467.4965		
TCGA-AB-2818-03	Diploid	3374.3667		
TCGA-AB-2817-03	Diploid	1682.8063		
TCGA-AB-2816-03	Diploid	5428.8462		
TCGA-AB-2814-03	Diploid	123.1380		
TCGA-AB-2813-03	Diploid	5928.0926		
TCGA-AB-2812-03	Diploid	714.6924		
TCGA-AB-2811-03	Diploid	2507.7582		
TCGA-AB-2810-03	Diploid	646.4822		
TCGA-AB-2808-03	Diploid	1596.2294		
TCGA-AB-2807-03	Diploid	121.1519		
TCGA-AB-2806-03	Diploid	328.4532		
TCGA-AB-2805-03	Diploid	2404.2838		
TCGA-AB-2803-03	Diploid	528.8066		
