Sample Id	YES1, Putative copy-number alterations from GISTIC	YES1, mRNA expression (RNA Seq V2 RSEM)	Mutations
TCGA-AB-2869-03	Diploid	658.8898		
TCGA-AB-2868-03	Diploid	346.8354		
TCGA-AB-2867-03	Diploid	550.9784		
TCGA-AB-2866-03	Diploid	7.7160		
TCGA-AB-2865-03	Diploid	590.2041		
TCGA-AB-2863-03	Diploid	584.5443		
TCGA-AB-2862-03	Diploid	388.2145		
TCGA-AB-2861-03	Diploid	21.1327		
TCGA-AB-2860-03	Diploid	175.1152		
TCGA-AB-2859-03	Diploid	528.6145		
TCGA-AB-2858-03	Diploid	584.3849		
TCGA-AB-2857-03	Shallow Deletion	512.3326		
TCGA-AB-2855-03	Diploid	2.3170		
TCGA-AB-2854-03	Diploid	193.8436		
TCGA-AB-2853-03	Diploid	625.5289		
TCGA-AB-2851-03	Diploid	210.3635		
TCGA-AB-2849-03	Diploid	50.9915		
TCGA-AB-2848-03	Diploid	23.8949		
TCGA-AB-2846-03	Diploid	275.4237		
TCGA-AB-2845-03	Diploid	311.4860		
TCGA-AB-2844-03	Diploid	312.9009		
TCGA-AB-2842-03	Diploid	142.4677		
TCGA-AB-2841-03	Diploid	274.8201		
TCGA-AB-2840-03	Diploid	311.4754		
TCGA-AB-2839-03	Diploid	492.6407		
TCGA-AB-2838-03	Diploid	425.4518		
TCGA-AB-2837-03	Diploid	147.0099		
TCGA-AB-2836-03	Diploid	302.2254		
TCGA-AB-2835-03	Diploid	9.0732		
TCGA-AB-2834-03	Diploid	86.3774		
TCGA-AB-2832-03	Diploid	1.8365		
TCGA-AB-2830-03	Diploid	410.5181		
TCGA-AB-2828-03	Diploid	265.8982		
TCGA-AB-2826-03	Diploid	121.4772		
TCGA-AB-2825-03	Diploid	188.3480		
TCGA-AB-2824-03	Diploid	356.8216		
TCGA-AB-2823-03	Diploid	499.9689		
TCGA-AB-2822-03	Diploid	461.6892		
TCGA-AB-2821-03	Diploid	346.5408		
TCGA-AB-2820-03	Diploid	332.2718		
TCGA-AB-2819-03	Diploid	612.7248		
TCGA-AB-2818-03	Diploid	420.1209		
TCGA-AB-2817-03	Diploid	336.9565		
TCGA-AB-2816-03	Diploid	153.8462		
TCGA-AB-2814-03	Diploid	16.6832		
TCGA-AB-2813-03	Shallow Deletion	66.6260		
TCGA-AB-2812-03	Diploid	986.2054		
TCGA-AB-2811-03	Diploid	374.5318		
TCGA-AB-2810-03	Amplification	188.2830		
TCGA-AB-2808-03	Diploid	106.0487		
TCGA-AB-2807-03	Diploid	102.2840		
TCGA-AB-2806-03	Diploid	318.2686		
TCGA-AB-2805-03	Diploid	56.2249		
TCGA-AB-2803-03	Diploid	740.7407		
